Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
1	U1	0	dev[11]=net(0,343-11)	InInterests	0	0
1	U1	0	dev[11]=net(0,343-11)	OutInterests	1	0.0878906
1	U1	0	dev[11]=net(0,343-11)	DropInterests	0	0
1	U1	0	dev[11]=net(0,343-11)	InNacks	0	0
1	U1	0	dev[11]=net(0,343-11)	OutNacks	0	0
1	U1	0	dev[11]=net(0,343-11)	DropNacks	0	0
1	U1	0	dev[11]=net(0,343-11)	InData	0	0
1	U1	0	dev[11]=net(0,343-11)	OutData	0	0
1	U1	0	dev[11]=net(0,343-11)	DropData	0	0
1	U1	1	dev=local(1)	InInterests	1	0.0878906
1	U1	1	dev=local(1)	OutInterests	1	0.0693359
1	U1	1	dev=local(1)	DropInterests	0	0
1	U1	1	dev=local(1)	InNacks	0	0
1	U1	1	dev=local(1)	OutNacks	0	0
1	U1	1	dev=local(1)	DropNacks	0	0
1	U1	1	dev=local(1)	InData	0	0
1	U1	1	dev=local(1)	OutData	0	0
1	U1	1	dev=local(1)	DropData	0	0
1	U1	2	dev=local(2)	InInterests	1	0.0693359
1	U1	2	dev=local(2)	OutInterests	0	0
1	U1	2	dev=local(2)	DropInterests	0	0
1	U1	2	dev=local(2)	InNacks	0	0
1	U1	2	dev=local(2)	OutNacks	0	0
1	U1	2	dev=local(2)	DropNacks	0	0
1	U1	2	dev=local(2)	InData	0	0
1	U1	2	dev=local(2)	OutData	0	0
1	U1	2	dev=local(2)	DropData	0	0
1	U10	0	dev[12]=net(0,12-345)	InInterests	0	0
1	U10	0	dev[12]=net(0,12-345)	OutInterests	1	0.0898438
1	U10	0	dev[12]=net(0,12-345)	DropInterests	0	0
1	U10	0	dev[12]=net(0,12-345)	InNacks	0	0
1	U10	0	dev[12]=net(0,12-345)	OutNacks	0	0
1	U10	0	dev[12]=net(0,12-345)	DropNacks	0	0
1	U10	0	dev[12]=net(0,12-345)	InData	0	0
1	U10	0	dev[12]=net(0,12-345)	OutData	0	0
1	U10	0	dev[12]=net(0,12-345)	DropData	0	0
1	U10	1	dev=local(1)	InInterests	1	0.0898438
1	U10	1	dev=local(1)	OutInterests	1	0.0722656
1	U10	1	dev=local(1)	DropInterests	0	0
1	U10	1	dev=local(1)	InNacks	0	0
1	U10	1	dev=local(1)	OutNacks	0	0
1	U10	1	dev=local(1)	DropNacks	0	0
1	U10	1	dev=local(1)	InData	0	0
1	U10	1	dev=local(1)	OutData	0	0
1	U10	1	dev=local(1)	DropData	0	0
1	U10	2	dev=local(2)	InInterests	1	0.0722656
1	U10	2	dev=local(2)	OutInterests	0	0
1	U10	2	dev=local(2)	DropInterests	0	0
1	U10	2	dev=local(2)	InNacks	0	0
1	U10	2	dev=local(2)	OutNacks	0	0
1	U10	2	dev=local(2)	DropNacks	0	0
1	U10	2	dev=local(2)	InData	0	0
1	U10	2	dev=local(2)	OutData	0	0
1	U10	2	dev=local(2)	DropData	0	0
1	U100	0	dev[13]=net(0,13-357)	InInterests	0	0
1	U100	0	dev[13]=net(0,13-357)	OutInterests	1	0.0917969
1	U100	0	dev[13]=net(0,13-357)	DropInterests	0	0
1	U100	0	dev[13]=net(0,13-357)	InNacks	0	0
1	U100	0	dev[13]=net(0,13-357)	OutNacks	0	0
1	U100	0	dev[13]=net(0,13-357)	DropNacks	0	0
